type,text,defn
root,"apert | aperient | aperture | apparatus | april",open
root,"apo | apocalypse | apocryphal | apogee | apologize | apology","away (prefix)"
root,"apt | adapt | adaptation | adept | aptitude | inept","fit | join"
root,"aqu | aquarium | aquatic | aqueduct | aqueous",water
root,"arbitr | arbiter | arbitrary | arbitrate | arbitration","judge | umpire | witness"
root,"arc | arcade | arch | archer | archery",bow
root,"arch | anarchy | heptarchy | hierarchy | monarch | monarchy | oligarchy | patriarch","govern | rule"
root,"archaeo | archaeologist | archaic","OLD | ancient"
root,"arche | archetype","chief | first | original"
root,"archi | archbishop | archenemy | archipelago | architect","chief | first | principal"
root,"ard | ardent | ardor | arson",burn
root,"argu | argue | arguer | argument | overargue","accuse | assert | prove"
root,"arium | aquarium","a place for (suffix)"
root,"arma | armada | armadillo | armament | armistice | armory | disarm | unarmed","arms | implements | tools | weapon"
root,"art | artifact | artifice | artificial | artisan | artist","craft | skill"
root,"artill | artillary",equip
root,"aster | aster | asterisk | asteroid | disaster",star
root,"astr | astrology | astronaut | astronomer | astronomy",star
root,"athl | ahlete | decathlon | pentathlon",contest
root,"atroc | atrocious | atrocity",cruel
root,"au | auspices | inauspicious",bird
root,"auct | auction | auctioneer | main root=aug",increase
root,"aud | audible | audience | audit | audition | obedient","hear | listen"
root,"audac | audacious","bold | dare"
root,"aug | augment | augur | augury | august",increase
root,"austr | austral | australia","south | the south wind"
root,"auto | autocrat | autograph | automatic | automotive | autonomy",self
root,"auxil | auxiliary","help | increase"
root,"av | auspice | avian | aviary | aviation | avionics",bird
root,"aval | avalanche","descend rapidly"
root,"bast | bastile | bastion",build
root,"bat | abate | battalion | batter | battery | battle | combat | debate | embattle | rebate",beat
root,"be | bedraggle - 7 | behavior - 5 | belittle - hs | beloved - 5 | beseech - 7 | bestow - 5 | betray - 6 | bewildering - 7","on all sides; overly; with a quality (prefix)"
root,"bel | belle | belmont | belvedere | embellish","beautiful | fair | fine"
root,"bell | antebellum | bellicose | belligerent | rebel | rebellion",war
root,"bene | benediction | benefactor | benefice | benefit | benevolent | benign","good | well"
root,"bi | binary | bipartisan | bipolar","twice | two"
root,"bibl | biblical | bibliography | bibliophile",book
root,"bio | amphibious | antibiotic | autobiography | biodegradable | biogenic | biology | biometrics | biopsy | symbiosis",life
root,"blust | bluster | blusterous | blustery","blow violently"
root,"bole | enblem | hyperbole | metabolism | parable | symbol","put | throw"
root,"bomb | bombard | bombardment","BOOMING NOISE"
root,"bon | bonanza | bonny | bonus",good
root,"botan | botanical | botany",herb
root,"boun | bountiful | bounty",good
root,"brac | bracelet | embrace","the two arms"
root,"brev | abbreviate | breviary | brevity | brief",short
root,"bri | abridge | brief","brief | short"
root,"bull | bullet | bulletin | bullion | ebullient","boil | bubble"
root,"burs | bursar | disburse | reinburse","money | purse"
root,"by | bypass | bystander","side (prefix)"
root,"cad | cadence | caducous | decadence","fall | sink"
root,"cada | cadaver | cadaverous",corpse
root,"cal | calisthenics | calligraphy | calomel | kaleidoscope","beautiful | beauty"
root,"calc | caulk | cockatrice | inculcate | recalcitrant","press | tread"
root,"calcu | calculable | calculator | calculus",pebble
root,"cald | caldron | scald",hot
root,"calor | caloric | calorie",heat
root,"camp | campaign | campus | championship | encampment | scamp",field
root,"can | canine | kennel",dog
root,"cand | candle | candor | incandescent | incendiary","burn | glow"
root,"candid | candid | candidate","clear | sincere | white"
root,"cant | accent | accentuate | cantata | incantation | incentive | recant","sing | song"
root,"cap | capable | capacious | capacity | captious | captivate | captive | captor","hold | seize | take"
root,"capit | capital | capitalism | capitation | capitulate | captain | decapitate | precipitate | precipitous",head
root,"capitul | capitilar | capitulate | recapitulate","chapter | head"
root,"capt | cape | captain",head
root,"cardi | cardiac | cardiology | pericardium",heart
root,"caric | career | caricature | carriage | chariot","load | wagon"
root,"carmen | charm | charming","magical formula | song"
root,"carn | carnage | carnal | carnation | carnelian | carnival | carnivorous | carrion | reincarnate",flesh
root,"cart | carte-blanche | cartel | cartography | cartoon | cartouche | cartridge","a paper"
root,"cas | cascade | casual | casualty | occasional","fall | sink"
root,"cas/cid/cad | cadence | cascade | casualty | occasional","fall | sink"
root,"cast | caste | castigate | catastrophe | chastise","chaste | pure"
root,"cata | cataclysm | catacomb | catalyst | catapult | cataract | catastrophe","down (prefix)"
root,"cauld | cauldron","hot | warm"
root,"caus | because | causal | causality | cause","case | motive | reason | sake"
root,"caust | caustic | cauterize | holocaust","burn | heat"
root,"caut | caution | cautious | precaution","guard against"
root,"cav | cavernous | cavity | concave | excavate",hollow
root,"cave | caution | caveat emptor","beware | guard against"
root,"ceas | deceased","go | yield"
root,"ced | accede | antecedent | cede | concede | intercede | precede | precedent | recede | secede","go | yield"
root,"ced/cess | ancestry | procedure | recede | succession","go | yield"
root,"ceed | exceed | proceed | succeed","go | yield"
root,"ceipt | receipt","hold | seize | take"
root,"ceit | conceit","hold | seize | take"
root,"ceiv | conceive | deceive","hold | seize | take"
root,"cel | ceiling | celestial | celestiality",heaven
root,"celebr | celebrate | celebration | celebrity","crowd | honor | solemnize"
root,"celer | accelerate | celerity","speed | swift"
root,"cent | centennial | centigrade | centipede | centuple | centurion | century",hundred
root,"centr | central | centrifugal | concentric | eccentric | egocentric | epicenter",center
root,"cept | accept | acceptable | concept | conception | deception | exception | intercept | receptacle | reception | susceptible","hold | seize | take"
root,"cerebr | cerebral",brain
root,"cern | concern | discern | discreet | secret | unconcern","observe | separate"
root,"cert | ascertain | certificate | certify | concert | uncertain","settled | sure"
root,"cess | ancestor | ancestry | concession | excess | incessant | success | succession","go | yield"
root,"chal | nonchalant","heat | warm"
root,"champ | championship",field
root,"chand | chandelier","burn | glow"
root,"chant | chantcleer | enchanting",sing
root,"char | chariot | discharge","load | wagon"
root,"chast | chastise","chaste | pure"
root,"che | alchemist | alchemy | chemist | chemistry","mix | pour out"
root,"chef | achievable | achieve | achiever | chiefly | outachieving","end | head"
root,"chor | choir | chorea | choreography | chorus","chorus | dance"
root,"chrom | chromatic | chromosome","color | pigment"
root,"chron | anachronism | chronic | chronicle | chronology | synchronize",time
root,"cid | accident | accidentally | coincidence | deciduous | incidence | occidental | recidivism","fall | sink"
root,"cide | concise | decide | fratricide | genocide | homicide | insecticide | precise | regicide | scissors | suicide","cut | kill | slay"
root,"cil | conciliate | conciliatory | council | reconcile","bring together | unite"
root,"cili | cilia | ciliary | supercilious",eyelid
root,"cinct | cincture | precinct | succinct",bind
root,"cine | cinema | cinematic | cinematography","motion picture | move"
root,"cip | anticipate | discipline | emancipate | incipient | recipe | recipient | reciprocate","hold | seize | take"
root,"cipit | precipitate | precipitous",head
root,"circ | circle | circuit | circuitous | circular | circulate | circus","circle | ring"
root,"circum | circumference | circumlocution | circumnavigation | circumspect","around (prefix) | on all sides"
root,"cise | chisel | concise | decisive | exorcise | incision | incisive | precise | precision | scissors","cut | kill"
root,"cit | excite | illicit | incite | recitation | resuscitate | solicitous","arouse | set in motion | summon"
root,"civ | civic | civil | civilization | civvies | uncivilized",citizen
root,"claim | acclaim | claim | claimant | exclaim | exclamation | proclaim | proclamation | reclaim","call out | declare"
root,"clar | clarinet | clarion | clarity | declare",clear
root,"claus | clause | claustrophobia",close
root,"cleer | chanticleer",clear
root,"clin | climax | decline | incline | recline","bend | lean | slant | slope"
root,"cliv | acclivity | declivity | proclivity",slope
root,"clois | cloister","close | shut"
root,"clos | disclose | enclose","close | shut"
root,"clud | conclude | exclude | include | occlude | preclude | seclude","close | shut"
root,"clus | inclusive | occlusion | recluse | seclusion","close | shut"
root,"clus/clud | inclusive | preclude | recluse | seclusion","close | shut"
root,"coagu | coagulate",curdle
root,"coct | biscuit | concoct | decoction | precocious","boil | cook"
root,"cogit | cogitation","know | ponder | think"
root,"cognit | cognition | cognoscenti | incognito | recognition",know
root,"cogniz | cognizance | cognizant | recognizance | recognize",know
root,"com | coherence - hs | committee - 5 | communication - 5 | comparative - 7 | compassion - 6 | compensation - 8 | complication - 7 | compulsion - 8","together (prefix) | with"
root,"commun | commune | communicate | community",common
root,"compar | comparability | comparative | compare","alike | matching"
root,"comtemn | contempt | contemptible | contemptuous","despise | scorn"
root,"con | conical | conifer",cone
root,"conn | reconnaissance",know
root,"consul | consult | consultation","consult | deliberate | take counsel"
root,"contra | contradict | contrarian | contrary | contrast | controversy","against | opposite"
root,"copi | copious | copyright | cornucopia","abundance | plenty"
root,"cord | accord | concordance | cordate | cordiality | discord | recorder",heart
root,"corn | capricorn | cornea | corner | cornet | cornucopia | unicorn",horn
root,"coron | cornice | corolla | corollary | corona | coronation | coroner | coronet",crown
root,"corp | corporal | corporation | corpse | corpulent | corset | esprit de corps | incorporate",body
root,"cort | cortege",court
root,"cosm | cosmetic | cosmic | cosmonaut | cosmopolitan | microcosm","order | ornament | universe | world"
root,"counter | counteract | counterfeit | countermand","against (prefix)"
root,"cour | coarse | courier | course",run
root,"cours | concourse | discourse | recourse",run
root,"court | courteous | courtesy | courtly","enclosure | farmyard | garden"
root,"crac | aristocracy | autocracy | democracy | plutocracy | theocracy",govern
root,"crat | aristocrat | autocrat | democrat | technocrat",govern
root,"creas | decrease | increase","grow | rise"
root,"creat | creative | creature | procreate | recreation | uncreative","create | make"
root,"cred | credence | credentials | credibility | creditor | credo | creed | incredible | incredulous",believe
root,"creet | accretion | concrete | discreet | secrete","GROW | INCREASE"
root,"cresc | crescendo | crescent","grow | increase"
root,"cret | accretion | concrete | crescent | secrete","grow | increase"
root,"crimin | criminal | discriminate | recriminate","crime | distinguish"
root,"crit | criterion | critic | critical | critique | hypocrite","a judge | choose | separate"
root,"cruc | crucial | crucify | excruciate",cross
root,"crus | cruise | crusade",cross
root,"crypt | apocryphal | cryptic | cryptography","hidden | vault"
root,"cub | cubicle | incubate | incubus","lie down | sit"
root,"culp | culpable | culprit | exculpate | inculpate | mia culpa","blame | fault | offense"
root,"cult | agriculture | cultivate | cultural | horticulture",till
root,"cumb | encumber | incumbent | procumbent | recumbent | succumb","lie down | recline"
root,"cur | concur | current | incur | occur | recur",run
root,"cura | accurate | curate | curative | curator | cure | curious | manicure | pedicure | procure | secure | sinecure","attention | care"
root,"curr | concurrent | currency | occurrence | recurrent",run
root,"curs | cursory | excursion | incursion | precursor",run
root,"cus | accusation | excusable | excuse | inexcusable | recuse","case | reason | sake"
root,"cycl | bicycle | cycle | cyclical | cyclone | cyclops | encyclopedia | tricycle | unicycle","circle | wheel"
root,"cyn | cynic | cynicism | cynosure",dog
root,"dact | didactic",teach
root,"dain | dainty | dignitary | disdain | indignant",worthy
root,"dat | date | edition | mandate | perdition | redition | tradition",give
root,"de | dedication - 7 | deficiency - 8 | delegation - 8 | deliberate - 6 | delusion - 7 | desolate - 7 | destination - 6 | destructive - 8","away | downward completely (prefix) | off | reversal | undoing"
root,"deb | debenture",owe
root,"debt | indebtedness",owe
root,"deca | decade | decathlon",ten
root,"decor | decorate | decoration | decorous | decorum","beauty | elegance | splendor"
root,"dei | deify | deity",God
root,"del | delete | deleterious | deletion | indelible","destroy | erase"
root,"dem | demagogue | democracy | epidemic","common people | people"
root,"demi | demigod | demijohn | demitasse","half (prefix)"
root,"demon | pandemonium",demon
root,"dendr | dendrite | dendrology | philodendron | rhododendron",tree
root,"dens | condensation | condense | dense | density","close | thick"
root,"dent | dental | denticle | dentifrice | denture | indentation | trident",tooth
root,"derm | dermatology | epidermis | hypodermic | pachyderm | taxidermy",skin
root,"dexter | dexterity | dexterous","right-hand; skillful"
root,"dextr | ambidextrous | dextrose","right-hand; skillful"
root,"di | diary | dietitian | diurnal | meridian | quotidian | sundial",day
root,"dia | diabetes | diagnosis | dialect | dialog | diameter | digress","apart (prefix) | between | through"
root,"dicat | abdicate | dedicate | indicate | predicate","declare | speak"
root,"dict | abdicate | addicted | benediction | contradict | dedication | dictate | dictatorial | diction | dictionary | edict | indictment | interdict | malediction | predict | valedictorian | verdict","declare | say | speak"
root,"dign | dignify | dignitary | dignity | disdain | indignant","merited | worthy"
root,"dilig | diligence | diligent","choose | like | select"
root,"direct from french | creche","crib | nursery"
root,"direct from old english | wassail","to be hale"
root,"direct-latin & german | myrrh","aromatic gum"
root,"dis | disperse | disseminate | dissipate | dissociate | dissolve","apart | asunder | away from (prefix)"
root,"dit | addition | edition | editorial | extradite | perdition | redition | tradition",give
root,"dit/dat | addition | editorial | extradite | tradition","give | push"
root,"divid | device | devise | divide | dividend | division | individual",divide
root,"divin | divine | divinity",divine
root,"divis | devise | division | divisor | indivisible",divide
root,"doc | docile | doctor | doctorate | doctrine | documentary | dogmatic | indoctrinate",teach
root,"dogm | dogma | dogmatic",opinion
root,"dol | condole | condolence | doleful | dolorous | indolence | indolent","grieve | suffer | worry"
root,"dom | domain | dome | domestic | domicile",house
root,"domin | dominate | domineer | dominion | domino | predominate","lord | master"
root,"don | condone | donation | donor | dowry | guerdon | pardon","gift | give"
root,"donna | prima donna","lady (Italian)"
root,"dorm | dormant | dormer | dormitory",sleep
root,"dors | do-si-do | dorsal | dossal | dossier | endorse",back
root,"dos | dose","a giving"
root,"dot | anecdote | antidote | endowment",given
root,"dou | doubtful",doubt
root,"dox | doxology | orthodox | paradox","glory | opinion | praise"
root,"dra | drama | dramatize | drastic","act | perform | play"
root,"drom | dromedary | hippodrome | palindrome | syndrome","a running"
root,"dub | dubious | indubitable",doubt
root,"duc | conduce | deduce | ducat | educate | educe | induce | seduce","bring | lead"
root,"duct | aqueduct | conducive | induct | seductive","bring | lead"
root,"dulc | dulcet | dulcify | dulcimer | dulcinea",sweet
root,"dur | duration | endurance | endure",last
root,"dynam | dynamics | dynamism | dynamite",power
root,"dys | dysentery | dysfunction | dysplasia","abnormal | bad | ill | impaired | sick"
root,"e (ec & ef) | ecstasy | eczema | effect | effusive | eject | elaborate | emanate","out (prefix)"
root,"eco | eco-activist | eco-catastrophe | ecology | ecosystem","environment | house"
root,"ecu | execute | executive | executor",follow
root,"edif | edification | edifice | edify",build
root,"ego | egocentric | egotist","I | self"
root,"egor | allegory | categorize | category",speak
root,"egr | peregrinate","field | land"
root,"egri | peregrination",field
root,"eido | kaleidoscope","form | image | shape"
root,"ela | elastic | elasticity","drive | flexible"
root,"electr | electrode | electron | electronics","amber | electric"
root,"elig | diligent | electable | electorate | elegant | eligible","pick out | select"
root,"emia | anemia | hypervolemia | leukemia","blood condition (suffix)"
root,"empt/em | example | exempt | peremptory | premium | redeem | redemption","buy | take"
root,"en | enchantment - 5 | enclosure - 6 | endure - 5 | energetic - 8 | engrave - 6 | enthusiastic - 7 | environmental - 7 | envision - 8","in | into | to cover or contain (prefix)"
root,"endo | endocrine | endoscope | endothermic","inside | within"
root,"enn | biennial | centennial | perennial",year
root,"epi | epidermis | epigram | episode | epitaph | epitome","on the outside (prefix) | over | upon"
root,"ept | adept | inept","fit | join"
root,"equ | adequate | equal | equanimity | equation | equilibrium | equinox | equitable | equity | equivalent | equivocal | equivocate","equal | same"
root,"eque | equestrian | equine",horse
root,"erg | allergy | energetic | energy | ergometer | ergonomics",work
root,"err | aberration | errant | erratic | erroneous | error | unerring",wander
root,"esce | acquiesce | adolescent | coalesce | convalescent | iridescent","becoming (suffix) | process of beginning"
root,"estim | esteem | estimate",value
root,"eth | ethical | ethics | ethos","behavior | custom | moral"
root,"ethic | ethical | ethics | ethos","behavior | moral"
root,"eu | eulogize | eulogy | euphemism | euphonious | euthanasia","good | well (prefix)"
root,"ex | excel - 8 | exception - 6 | exclamation - 6 | exclusive - 8 | excursion - 6 | exotic - 6 | expectation - 7 | extensive - 8","out | out of | outside (prefix)"
root,"exampl | example | exemplary | exemplify","model | pattern | sample"
root,"exo | exodus | exogamy | exogenous | exotic","outer (prefix) | outside"
root,"extra | extraneous | extraordinary | extrapolate | extravagance","beyond (prefix)"
root,"fa | affable | confabulate | fable | fabulous | fate | ineffable | infantry | preface",speak
root,"fac | benefactor | facade | facile | facilitate | faction | factor | factory | faculty | olfactory","do | make"
root,"fac/fic | artificial | deficiency | facade | faction | faculty | magnificent | olfactory | personification | proficient | ratification | suffice | superficial","do | make"
root,"faci | deface | efface | facade | facial | superficial | surface","face | figure | form"
root,"fall | fallacious | fallacy | fallible | falter | infallible","beguile | deceive | err"
root,"fals | false | falsetto | falsification | falsify",deceive
root,"fam | defamation | defame | famous | infamous | infamy","public opinion | report"
root,"fas | nefarious","law | right"
root,"fast | fastidious","conceit | pride"
root,"fatu | fatuity | fatuous | infatuate","feeble | foolish | silly"
root,"faul | default | fault",deceive
root,"fav | favor | favorite","goodwill | to be favorably inclined"
root,"fect | affect | affectation | affection | confection | defect | defection | infect | infection | perfect | perfection","act | do | form | make"
root,"feder | confederate | confederation | confereracy | federal","league | treaty"
root,"feit/fac | counterfeit | forfeit | surfeit","do | make"
root,"fend | defend | offend",strike
root,"fens | defensive | indefensible | offensive",strike
root,"fer | circumference | confer | defer | fertile | infer | odoriferous | refer | referee | reference | suffer | transfer | vociferous","bear | bring | carry"
root,"ferm | ferment | fermentation","cause to rise | leaven"
root,"ferv | effervesce | fervent | fervid | fervor",boil
root,"fest | feast | festival | festive",feast
root,"fic | beneficiary | deficiency | deficient | difficult | efficacious | magnificent | personification | proficient | suffice | superficial","do | make"
root,"fict | fictile | fiction | fictitious","fashion | feign"
root,"fid | affidavit | bona fide | confidential | infidel","faith | trust"
root,"fig | configuration | disfigure | effigy | figment | figurative | figure","feign | form | make | shape"
root,"fil | filament | filigree | fillet | profile","line | thread"
root,"fin | affinity | confine | define | definitive | finale | fine | finesse | finish | indefinite | infinite | refine","end | limit"
root,"firm | affirm | confirm | confirmation | firmament | firmness | infirm | infirmary","firm | steadfast | strong"
root,"fix | affix | fixation | prefix | suffix | transfixed","fastened | fixed"
root,"flagr | conflagration | flagrant",burn
root,"flam | flamboyant | inflammatory",burn
root,"flect | deflect | genuflect | inflection | reflect",bend
root,"flex | circumflex | flexible | flexor | reflex",bend
root,"flict | affliction | conflict | inflict","dash | strike"
root,"flig | profligate","dash | strike"
root,"flor | floral | florid | florist | flourish",flower
root,"flu | affluent | effluence | fluent | fluid | flume | flux | influence | mellifluous | superfluous",flow
root,"fluctu | fluctuate","a wave"
root,"foli | cinquefoil | defoliate | exfoliate | foliage | folic acid | folio | portfolio",leaf
root,"forc | reinforcement",strong
root,"fore | forebear | forebode | forecast | forehead | foreman | forestall | foretell","before | earlier (prefix) | previous"
root,"form | conform | deform | formula | inform | reform | transform | uniform","form | shape"
root,"formid | formidability | formidable",fear
root,"fort | comfort | comfortable | effort | forte | fortification | fortitude | reinforcement",strong
root,"fortu | fortuitous","casual | chance | luck"
root,"fortun | fortunate | fortune | misfortune","chance | fortune"
root,"found | foundation | founder | profound","bottom | foundation"
root,"fourn | furnish | performance","accomplish | complete"
root,"fract | fraction | fractious | fracture | fragment | infraction | refract",break
root,"frag | fragile | fragment | fragmentation",break
root,"frater | fraternal | fraternity",brother
root,"fratr | fratricide | friar",brother
root,"frig | frigid | frigidity | refrigerator","be cold"
root,"front | affront | confront | effrontery | frontal","face | forehead"
root,"fruct | fructose","enjoy | fruit"
root,"frug | frugal","fruits of the earth | thrift"
root,"fruit | fruitful | fruition","enjoy | produce"
root,"frustra | frustrate | frustration","in vain"
root,"fug | centrifugal | centrifuge | fugitive | refuge | subterfuge",flee
root,"fum | fumigant | fumigation",smoke
root,"funct | defunct | function | perfunctory",perform
root,"fund | found | fundamental | funding | profound",bottom
root,"fur | furtive",steal
root,"fus | confuse | diffuse | effusion | fusion | profuse | transfusion","melt | pour"
root,"gam | amalgamate | bigamy | endogamy | monogamy | polygamy",marriage
root,"gastr | gastric | gastronomy | gastropod",stomach
root,"gen | congenial | denegrate | generation | gentle","kind | race"
root,"geo | apogee | geocentric | geode | geography | geology","earth | ground | soil"
root,"geri | geriatric","old age"
root,"germ | germ | germane | germinate","bud | seed | vital part"
root,"geron | genontology | gerontocracy","old man"
root,"gest | congestion | digestion | gestation | gesture | register | suggest","bring | carry"
root,"glac | glacial | glacier | glacis",ice
root,"glom | conglomerate","ball of yarn"
root,"gloss | glossary","language | tongue | word"
root,"glot | epiglottis",tongue
root,"glutin | agglutinate | gluten | glutinous","bond | glue"
root,"glyc | glycerol | hypoglycemia | triglyceride",sugar
root,"gnit/not | acquaint | cognition | cognitive | cognizant | incognito | recognition | recognize",know
root,"gno | agnostic | diagnose | gnome | prognosticate",know
root,"gon | hexagon | polygon","angle | corner"
root,"gorg | gargle | gorge | gorgeous",throat
root,"grac | disgrace | grace | gracious","pleasing | thankful"
root,"grad | aggression | aggressive | centigrade | congress | congressional | congressman | degrade | degree | gradient | gradual | gradually | graduate | graduation | ingredient | progress | progressive | retrograde | transgress | transgression","degree | go | step | walk"
root,"gramm | anagram | diagram | epigram | grammatical | monogram | programme","a letter | written character"
root,"grand | aggrandize | grandeur | grandiloquent | grandiose | grandstand","great | large"
root,"graph | autograph | calligraphy | demography | geography | graphite | holograph | lithography | seismograph",write
root,"grat | congratulate | grateful | gratify | gratis | gratitude | gratuitous | ingrate | ingratiate","pleasing | thankful"
root,"grat/grac | disgrace | gracious | gratitude | ingrate","pleasing | thankful"
root,"grav | aggravate | engrave | graveness | gravitate | gravity | grievance | grieve","heavy | weighty"
root,"gred | ingredient","degree | step"
root,"gree | agreement | disagreeable","pleasing | thankful"
root,"greg | aggregate | congregation | egregious | gregarious","flock | herd"
root,"gress | aggression | congressman | digress | egress | progressive","step | walk"
root,"griev | grievance","heavy | weighty"
root,"gyn | gynecology | misogyny",woman
root,"gyr | gyrate | gyration | gyre | gyroscope","circle | ring"
root,"hab | behavior | haberdashery | habit | habitual | rehabilitate","have | hold"
root,"habit | habitat | habitation | habitual | inhabitant","abide | dwell | live"
root,"hal | exhalation | halitosis | inhalant | inhale",breathe
root,"hap | haphazard | hapless | happen | mishap","by chance"
root,"harb | harbinger | harbor","shelter (German)"
root,"hard | foolhardy","harden | make brave"
root,"harm | harmonic | harmoniously | harmonize | harmony","a joining | fitting | joint"
root,"haut | haughty | haute couture","grand (French) | high"
root,"heart | heartbroken","heart (compound word)"
root,"hedr | cathedral | octahedron | polyhedron","base | seat"
root,"heir | heiress | heirloom",inherit
root,"helic | helicopter | heliport | helix",spiral
root,"helio | aphelion | heliocentric | heliograph | heliolatry | heliotrope | helium | perihelion","the sun"
root,"hem | hemophilia | hemorrhage",blood
root,"hemat | hematite",blood
root,"hemi | hemiparasite | hemiplegia | hemisphere","half (prefix)"
root,"hend | apprehend | apprehensive | reprehensible",grasp
root,"her | adhere | adherence | coherence | incoherent | inherent","hold fast | stick"
root,"hered | hereditary","heir | inherit"
root,"heri | heritage | inheritance",inherit
root,"hero | heroism",hero
root,"hes | adhesion | adhesive | cohesion | cohesive | hesitate","hold fast | stick"
root,"hetero | heterodox | heterogeneous | heteronym","another (prefix) | different | other"
root,"hex | hexagon","six (prefix)"
root,"hib | exhibitor | prohibit","have | hold as customary | occupy"
root,"hibit | exhibit | prohibit | prohibition","have | hold"
root,"hiero | hierarchy | hierocracy | hieroglyphics","priestly | sacred"
root,"hod | method | odometer | period | synod","road | way"
root,"holo | catholic | holistic | holocaust | hologram",whole
root,"homeo | homeopathy","like | same"
root,"homo | homogeneous | homonym",same
root,"horr | horrendous | horrible | horrid | horrify | horror","shudder | stand on end"
root,"hortus | horticultural | horticulture | horticulturist","a garden"
root,"hosp | hospice | hospitable | hospital | hostel | hostess | hostler | hotel","guest | host"
root,"host | hostage | hostile","an enemy"
root,"hum | exhume | humble | humility | humus","earth | the ground"
root,"hydr | dehydrate | hydrangea | hydrant | hydraulics | hydrogen | hydrophobia",water
root,"hyper | hyperactive | hyperbole | hypertension","above (prefix) | over"
root,"hypn | hypnosis | hypnotic | hypnotism | hypnotize",sleep
root,"hypo | hypocrisy | hypoglycemia | hypotenuse | hypothermia | hypothesis | hypothetical","beneath | under (prefix)"
root,"icon | iconoclast | iconography | iconology",image
root,"ideid | idyl | idyllic","form | shape"
root,"iden | identification | identify | identity",same
root,"ideo | idealistic | ideology","idea | thought"
root,"idio | idiom | idiosyncrasy | idiot","one's own | peculiar"
root,"ign | igneous | ignite | ignition",fire
root,"in | immortality - 8 | impatience - 7 | impractical - 7 | improbable - 8 | indefinite - 7 | injustice - 6 | insatiable - 7 | invalid - 7","not (prefix)"
root,"insul | insular | insulate | insulation | islet | isolate | peninsula",island
root,"intellec | intellect | intellectual","power to know"
root,"intellig | unintelligible","power to think"
root,"inter | intercept | interfere | interject | interval","among (prefix) | between"
root,"intra | intramural | intraocular | intrastate | intravenous","within (prefix)"
root,"intrin | interior | intrinsic",inward
root,"invid | envious | envy | invidious",envy
root,"irish | limerick","A county in Ireland"
root,"irrir | irritable | irritate | irritation","exasperate | excite | provoke"
