type;text
conjunctions;both/and
conjunctions;whether/or
conjunctions;just as/so
conjunctions;the/the
conjunctions;as/as
conjunctions;as much/as
conjunctions;no sooner/than
conjunctions;rather/than
conjunctions;After
conjunctions;Although
conjunctions;As
conjunctions;As if
conjunctions;As long as
conjunctions;As much as
conjunctions;As soon as
conjunctions;As though
conjunctions;Because
conjunctions;Before
conjunctions;Even if
conjunctions;Even though
conjunctions;How
conjunctions;If
conjunctions;Inasmuch as
conjunctions;In order that
conjunctions;Now that
conjunctions;Provided
conjunctions;Since
conjunctions;So that
conjunctions;Than
conjunctions;That
conjunctions;Though
conjunctions;Till
conjunctions;Unless
conjunctions;Until
conjunctions;When
conjunctions;Whenever
conjunctions;Where
conjunctions;Wherever
conjunctions;While
conjunctions;Than
conjunctions;Who
conjunctions;Whoever
conjunctions;Once
conjunctions;Both / and
conjunctions;Either / or
conjunctions;Neither / nor
conjunctions;Not only / but also
conjunctions;So / as
conjunctions;Whether / or
conjunctions;As / as
conjunctions;As much / as
conjunctions;No sooner / than
conjunctions;Rather / than
conjunctions;If / then
conjunctions;Hardly / when
conjunctions;Scarcely / when
conjunctions;What with / and
conjunctions;Such / that
conjunctions;So / that
conjunctions;Comparision
conjunctions;Evidently
conjunctions;Eqaully
conjunctions;As with
conjunctions;Likewise
conjunctions;In the same way
conjunctions;Similarly
conjunctions;Like
conjunctions;Of contrast
conjunctions;Conclusion
conjunctions;To conclude
conjunctions;In conclusion
conjunctions;Finally
conjunctions;On the whole
conjunctions;Summarizing
conjunctions;Overall
conjunctions;To sum up
conjunctions;Despite this
conjunctions;In comparison
conjunctions;In contrast
conjunctions;Even though
conjunctions;illustration
conjunctions;For example
conjunctions;Such as
conjunctions;For instance
conjunctions;Such as
conjunctions;In other words
conjunctions;An instance
conjunctions;As revealed by
conjunctions;To show that
conjunctions;In the case of
conjunctions;As an example
conjunctions;For one thing
conjunctions;Conclusion
conjunctions;To conclude
conjunctions;In conclusion
conjunctions;Finally
conjunctions;On the whole
conjunctions;Summarizing
conjunctions;Overall
conjunctions;To sum up
conjunctions;Evidently
conjunctions;Cause & Effect
conjunctions;Because
conjunctions;Since
conjunctions;For
conjunctions;So
conjunctions;Consequently
conjunctions;Therefore
conjunctions;Thus
conjunctions;Hence
conjunctions;Owing to
conjunctions;As a result of
conjunctions;Causes
conjunctions;As a consequence of
conjunctions;Leads to
conjunctions;Contributes of
conjunctions;Brings about
conjunctions;Results in
conjunctions;Because of this
conjunctions;For this reason
conjunctions;Stems from
conjunctions;Comes from
conjunctions;Results from
conjunctions;Is the result of
conjunctions;Is the consequence of
conjunctions;Is due to
conjunctions;Is caused by
conjunctions;Opinion
conjunctions;I think
conjunctions;I believe
conjunctions;I feel
conjunctions;In my opinion
conjunctions;In my view
conjunctions;As far as I know
conjunctions;It seems likely
conjunctions;It seems to me
conjunctions;In my experience
conjunctions;I believe that
conjunctions;As for me, I think
conjunctions;If I am not mistaken
conjunctions;What I mean is
conjunctions;I’d say that
conjunctions;Personally, I think
conjunctions;Emphasis
conjunctions;Significantly
conjunctions;Notably
conjunctions;In particular
conjunctions;In fact
conjunctions;To be sure
conjunctions;Truly
conjunctions;Actually
conjunctions;In reality
conjunctions;As it happens
conjunctions;Addition
conjunctions;And
conjunctions;Also
conjunctions;In addition
conjunctions;Further
conjunctions;Furthermore
conjunctions;Besides
conjunctions;In addition to
conjunctions;Moreover
conjunctions;Additionally
conjunctions;Not only / but also
conjunctions;Then
conjunctions;Again
conjunctions;Finally
conjunctions;Persuasion
conjunctions;Of course
conjunctions;Clearly
conjunctions;Evidently
conjunctions;Surely
conjunctions;Indeed
conjunctions;Undoubtedly
conjunctions;Decidedly
conjunctions;Certainly
conjunctions;For this reason
conjunctions;Besides
conjunctions;Again
conjunctions;both/and
conjunctions;whether/or
conjunctions;not only/but also
conjunctions;either/or
conjunctions;neither/nor
conjunctions;just/so
conjunctions;the/the
conjunctions;as/as
conjunctions;if/then
conjunctions;rather/than
conjunctions;no sooner/than
conjunctions;such/that
conjunctions;so/that
conjunctions;after
conjunctions;although
conjunctions;as
conjunctions;as if
conjunctions;as long as
conjunctions;as much as
conjunctions;as soon as
conjunctions;as far as
conjunctions;as though
conjunctions;by the time
conjunctions;in as much as
conjunctions;inasmuch
conjunctions;in order to
conjunctions;in order that
conjunctions;in case
conjunctions;lest
conjunctions;though
conjunctions;now that
conjunctions;now since
conjunctions;now when
conjunctions;now
conjunctions;even if
conjunctions;even
conjunctions;even though
conjunctions;provided
conjunctions;provide that
conjunctions;if
conjunctions;if then
conjunctions;if when
conjunctions;if only
conjunctions;just as
conjunctions;where
conjunctions;wherever
conjunctions;whereas
conjunctions;where if
conjunctions;whether
conjunctions;since
conjunctions;because
conjunctions;whose
conjunctions;whoever
conjunctions;unless
conjunctions;while
conjunctions;before
conjunctions;why
conjunctions;so that
conjunctions;until
conjunctions;how
conjunctions;since
conjunctions;than
conjunctions;till
conjunctions;whenever
conjunctions;supposing
conjunctions;when
conjunctions;or not
conjunctions;what
conjunctions;either/or
conjunctions;neither/nor
conjunctions;not only/but also
conjunctions;both/and
conjunctions;not/but
conjunctions;whether/or
conjunctions;just as/so
conjunctions;the/the
conjunctions;as/as
conjunctions;as much/as
conjunctions;no sooner/than
conjunctions;rather/than
conjunctions;Comparison & Contrast Cause / effect  Time
conjunctions;Although
conjunctions;Though
conjunctions;Even though
conjunctions;While
conjunctions;Whereas
conjunctions;Since
conjunctions;So that
conjunctions;Because
conjunctions;After
conjunctions;When
conjunctions;Until
conjunctions;Whenever
conjunctions;Before
conjunctions;Possibility Place & manner
conjunctions;if
conjunctions;as if
conjunctions;whether
conjunctions;unless
conjunctions;Wherever
conjunctions;Where
conjunctions;How
conjunctions;Sequence  Result  Emphasis
conjunctions;First / firstly, second / secondly, third / thirdly etc
conjunctions;Next, last, finally
conjunctions;In addition, moreover
conjunctions;Further / furthermore
conjunctions;Another
conjunctions;Also
conjunctions;In conclusion
conjunctions;To summarise
conjunctions;So
conjunctions;As a result
conjunctions;As a consequence (of)
conjunctions;Therefore
conjunctions;Thus
conjunctions;Consequently
conjunctions;Hence
conjunctions;Due to
conjunctions;Undoubtedly
conjunctions;Indeed
conjunctions;Obviously
conjunctions;Generally
conjunctions;Admittedly
conjunctions;In fact
conjunctions;Particularly / in particular
conjunctions;Especially
conjunctions;Clearly
conjunctions;Importantly
conjunctions;Addition  Reason  Example
conjunctions;And
conjunctions;In addition / additionally / an additional
conjunctions;Furthermore
conjunctions;Also
conjunctions;Too
conjunctions;As well as
conjunctions;For
conjunctions;Because
conjunctions;Since
conjunctions;As
conjunctions;Because of
conjunctions;For example
conjunctions;For instance
conjunctions;That is (ie)
conjunctions;Such as
conjunctions;Including
conjunctions;Namely
conjunctions;Contrast  Comparison
conjunctions;However
conjunctions;Nevertheless
conjunctions;Nonetheless
conjunctions;Still
conjunctions;Although / even though
conjunctions;Though
conjunctions;But
conjunctions;Yet
conjunctions;Despite / in spite of
conjunctions;In contrast (to) / in comparison
conjunctions;While
conjunctions;Whereas
conjunctions;On the other hand
conjunctions;On the contrary
conjunctions;in the first place
conjunctions;not only ... but also
conjunctions;as a matter of fact
conjunctions;in like manner
conjunctions;in addition
conjunctions;coupled with
conjunctions;in the same fashion / way
conjunctions;first, second, third
conjunctions;in the light of
conjunctions;not to mention
conjunctions;to say nothing of
conjunctions;equally important
conjunctions;by the same token
conjunctions;again
conjunctions;to
conjunctions;and
conjunctions;also
conjunctions;then
conjunctions;equally
conjunctions;identically
conjunctions;uniquely
conjunctions;like
conjunctions;as
conjunctions;too
conjunctions;moreover
conjunctions;as well as
conjunctions;together with
conjunctions;of course
conjunctions;likewise
conjunctions;comparatively
conjunctions;correspondingly
conjunctions;similarly
conjunctions;furthermore
conjunctions;additionally
conjunctions;although this may be true
conjunctions;in contrast
conjunctions;different from
conjunctions;of course ..., but
conjunctions;on the other hand
conjunctions;on the contrary
conjunctions;at the same time
conjunctions;in spite of
conjunctions;even so / though
conjunctions;be that as it may
conjunctions;then again
conjunctions;above all
conjunctions;in reality
conjunctions;after all
conjunctions;but
conjunctions;(and) still
conjunctions;unlike
conjunctions;or
conjunctions;(and) yet
conjunctions;while
conjunctions;albeit
conjunctions;besides
conjunctions;as much as
conjunctions;even though
conjunctions;although
conjunctions;instead
conjunctions;whereas
conjunctions;despite
conjunctions;conversely
conjunctions;otherwise
conjunctions;however
conjunctions;rather
conjunctions;nevertheless
conjunctions;nonetheless
conjunctions;regardless
conjunctions;notwithstanding
conjunctions;in the event that
conjunctions;granted (that)
conjunctions;as / so long as
conjunctions;on (the) condition (that)
conjunctions;for the purpose of
conjunctions;with this intention
conjunctions;with this in mind
conjunctions;in the hope that
conjunctions;to the end that
conjunctions;for fear that
conjunctions;in order to
conjunctions;seeing / being that
conjunctions;in view of
conjunctions;If
conjunctions;... then
conjunctions;unless
conjunctions;when
conjunctions;whenever
conjunctions;while
conjunctions;because of
conjunctions;as
conjunctions;since
conjunctions;while
conjunctions;lest
conjunctions;in case
conjunctions;provided that
conjunctions;given that
conjunctions;only / even if
conjunctions;so that
conjunctions;so as to
conjunctions;owing to
conjunctions;inasmuch as
conjunctions;due to
conjunctions;in other words
conjunctions;to put it differently
conjunctions;for one thing
conjunctions;as an illustration
conjunctions;in this case
conjunctions;for this reason
conjunctions;to put it another way
conjunctions;that is to say
conjunctions;with attention to
conjunctions;by all means
conjunctions;important to realize
conjunctions;another key point
conjunctions;first thing to remember
conjunctions;most compelling evidence
conjunctions;must be remembered
conjunctions;point often overlooked
conjunctions;to point out
conjunctions;on the positive side
conjunctions;on the negative side
conjunctions;with this in mind
conjunctions;notably
conjunctions;including
conjunctions;like
conjunctions;to be sure
conjunctions;namely
conjunctions;chiefly
conjunctions;truly
conjunctions;indeed
conjunctions;certainly
conjunctions;surely
conjunctions;markedly
conjunctions;such as
conjunctions;especially
conjunctions;explicitly
conjunctions;specifically
conjunctions;expressly
conjunctions;surprisingly
conjunctions;frequently
conjunctions;significantly
conjunctions;particularly
conjunctions;in fact
conjunctions;in general
conjunctions;in particular
conjunctions;in detail
conjunctions;for example
conjunctions;for instance
conjunctions;to demonstrate
conjunctions;to emphasize
conjunctions;to repeat
conjunctions;to clarify
conjunctions;to explain
conjunctions;to enumerate
conjunctions;as a result
conjunctions;under those circumstances
conjunctions;in that case
conjunctions;for this reason
conjunctions;in effect
conjunctions;for
conjunctions;thus
conjunctions;because the
conjunctions;then
conjunctions;hence
conjunctions;consequently
conjunctions;therefore
conjunctions;thereupon
conjunctions;forthwith
conjunctions;accordingly
conjunctions;henceforth
conjunctions;as can be seen
conjunctions;generally speaking
conjunctions;in the final analysis
conjunctions;all things considered
conjunctions;as shown above
conjunctions;in the long run
conjunctions;given these points
conjunctions;as has been noted
conjunctions;in a word
conjunctions;for the most part
conjunctions;after all
conjunctions;in fact
conjunctions;in summary
conjunctions;in conclusion
conjunctions;in short
conjunctions;in brief
conjunctions;in essence
conjunctions;to summarize
conjunctions;on balance
conjunctions;altogether
conjunctions;overall
conjunctions;ordinarily
conjunctions;usually
conjunctions;by and large
conjunctions;to sum up
conjunctions;on the whole
conjunctions;in any event
conjunctions;in either case
conjunctions;all in all
conjunctions;Obviously
conjunctions;Ultimately
conjunctions;Definitely
conjunctions;at the present time
conjunctions;from time to time
conjunctions;sooner or later
conjunctions;at the same time
conjunctions;up to the present time
conjunctions;to begin with
conjunctions;in due time
conjunctions;as soon as
conjunctions;as long as
conjunctions;in the meantime
conjunctions;in a moment
conjunctions;without delay
conjunctions;in the first place
conjunctions;all of a sudden
conjunctions;at this instant
conjunctions;first, second
conjunctions;immediately
conjunctions;quickly
conjunctions;finally
conjunctions;after
conjunctions;later
conjunctions;last
conjunctions;until
conjunctions;till
conjunctions;since
conjunctions;then
conjunctions;before
conjunctions;hence
conjunctions;since
conjunctions;when
conjunctions;once
conjunctions;about
conjunctions;next
conjunctions;now
conjunctions;formerly
conjunctions;suddenly
conjunctions;shortly
conjunctions;henceforth
conjunctions;whenever
conjunctions;eventually
conjunctions;meanwhile
conjunctions;further
conjunctions;during
conjunctions;in time
conjunctions;prior to
conjunctions;forthwith
conjunctions;straightaway
conjunctions;by the time
conjunctions;whenever
conjunctions;until now
conjunctions;now that
conjunctions;instantly
conjunctions;presently
conjunctions;occasionally
conjunctions;in the middle
conjunctions;to the left/right
conjunctions;in front of
conjunctions;on this side
conjunctions;in the distance
conjunctions;here and there
conjunctions;in the foreground
conjunctions;in the background
conjunctions;in the center of
conjunctions;adjacent to
conjunctions;opposite to
conjunctions;here
conjunctions;there
conjunctions;next
conjunctions;where
conjunctions;from
conjunctions;over
conjunctions;near
conjunctions;above
conjunctions;below
conjunctions;down
conjunctions;up
conjunctions;under
conjunctions;further
conjunctions;beyond
conjunctions;nearby
conjunctions;wherever
conjunctions;around
conjunctions;between
conjunctions;before
conjunctions;alongside
conjunctions;amid
conjunctions;among
conjunctions;beneath
conjunctions;beside
conjunctions;behind
conjunctions;across
timetransitions;After
timetransitions;Afterwards
timetransitions;Before
timetransitions;Then
timetransitions;Currently
timetransitions;Concurrently
timetransitions;Meantime
timetransitions;Once
timetransitions;Next
timetransitions;First
timetransitions;Second
timetransitions;At first
timetransitions;At last
timetransitions;At length
timetransitions;Formerly
timetransitions;Rarely
timetransitions;Usually
timetransitions;Another
timetransitions;Finally
timetransitions;Soon
timetransitions;Meanwhile
timetransitions;At the same time
timetransitions;For a minute
timetransitions;For a hour
timetransitions;For a day
timetransitions;During afternoon
timetransitions;During morning
timetransitions;During day
timetransitions;During week
timetransitions;During month
timetransitions;Later
timetransitions;Ordinarily
timetransitions;To begin with
timetransitions;As long as
timetransitions;When
timetransitions;While
timetransitions;Just as
timetransitions;Since
timetransitions;Until
timetransitions;Every time
timetransitions;Earlier
timetransitions;In the past
timetransitions;Once
timetransitions;Up until that
timetransitions;Yesterday
timetransitions;Consequently
timetransitions;Then
timetransitions;Some of the time
timetransitions;At times
timetransitions;Eventually
timetransitions;Final
timetransitions;Finally
timetransitions;Last of all
timetransitions;Periodically
timetransitions;Rarely
timetransitions;Seldom
timetransitions;Gradually
timetransitions;Occasionally
timetransitions;Following
timetransitions;After that
