type;text
modals;He needs to see a doctor straightaway.
modals;Should
modals;You should read his new book.
modals;Ought to
modals;You really ought to quit smoking.
modals;Needn’t
modals;I needn’t have put on this thick coat.
modals;Mustn’t
modals;You mustn’t tell Jerry what I’ve bought.
modals;Don’t have to
modals;You don’t have to call a taxi.
modals;Can
modals;Could
modals;Could, may and might
modals;Dare
modals;Had better
modals;May
modals;Might
modals;Modality: forms
modals;Modality: meanings and uses
modals;Modality: tense
modals;Modality: other verbs
modals;Modality: other modal words and expressions
modals;Must
modals;Need
modals;Ought to
modals;Shall
modals;Should
modals;Will
modals;Would
modals;Be expressions (be able to, be due to)
modals;Be able to
modals;Be going to: form
modals;Can
modals;Could
modals;Dare
modals;Have got to and have to
modals;May
modals;Might
modals;Must
modals;Need
modals;Ought to
modals;Shall
modals;Should
modals;Used to
modals;Will
modals;Would
modals;be to
modals;be certain to
modals;be meant to
modals;be able to
modals;be due to
modals;be obliged to
modals;be about to
modals;be forced to
modals;be set to
modals;be allowed to
modals;be going to
modals;be supposed to
modals;be bound to
modals;be likely to/that
modals;be sure to
modals;meaning
modals;which verb?
modals;example
modals;really certain
modals;will
modals;My birthday will be on a Monday this year.
modals;won’t
modals;I won’t have a party.
modals;shall
modals;I shall have plenty to tell you when I see you.
modals;shan’t
modals;I shan’t ask you to come again.
modals;must
modals;The cakes must be ready soon. They’ve been in the oven for an hour.
modals;can’t
modals;You can’t be hungry. You had a huge lunch.
modals;very likely
modals;should
modals;The traffic isn’t heavy. We should be there in an hour.
modals;ought to
modals;The traffic isn’t heavy. We ought to be there in an hour.
modals;possible
modals;may
modals;She may be a friend of Richard’s.
modals;might
modals;She might be a friend of Richard’s.
modals;could
modals;She could be a friend of Richard’s.
modals;strong obligation
modals;must
modals;You must arrive at 6 to pick up the tickets.
modals;have to
modals;I have to go up to the hospital twice a week.
modals;need to
modals;We need to win this game to get into the final.
modals;weak obligation
modals;should
modals;Children should look after their parents in old age.
modals;ought to
modals;Children ought to look after their parents in old age.
modals;no obligation
modals;needn’t
modals;I needn’t do it now. I’ll do it later.
modals;don’t need to
modals;I don’t need to do it now. I’ll do it later.
modals;don’t have to
modals;I don’t have to do it now. I’ll do it later.
modals;permission
modals;can
modals;Can we go out now?
modals;You can go now if you’ve finished.
modals;may
modals;You may go now if you’ve finished.
modals;May I borrow a chair?
modals;could
modals;Could we borrow the car?
modals;might
modals;Might we have a little more time to finish the exam? (very formal)
modals;no permission
modals;can’t
modals;You can’t go in without a ticket.
modals;may not
modals;You may not enter while the exam is in progress. (formal)
modals;must not
modals;You must not leave your bike in front of the fire exit.
modals;offer
modals;will
modals;I’ll get it. You stay there.
modals;shall
modals;Shall I go and make dinner?
modals;request
modals;will
modals;Will you close that door?
modals;would
modals;Would you close that door?
modals;could
modals;Could you help me with this?
modals;promise
modals;will
modals;I’ll come back before 6.
modals;decision
modals;will
modals;I think I’ll eat later. I’m not hungry now.
modals;advice and suggestion
modals;should
modals;You should apply for that job.
modals;ability
modals;can
modals;Can you swim underwater?
modals;could
modals;I could play much better ten years ago.
modals;general truth
modals;can
modals;Too much exercise can be bad for you.
modals;may
modals;A list of verbs may be found at the back of the book.
modals;See also:
modals;Be able to
modals;Be going to: form
modals;Can
modals;Could
modals;Dare
modals;Have got to and have to
modals;May
modals;Might
modals;Must
modals;Need
modals;Ought to
modals;Shall
modals;Should
modals;Would
modals;Will
modals;Permission
modals;Ability
modals;Obligation
modals;Prohibition
modals;Lack of necessity
modals;Advice
modals;possibility
modals;probability
